Game ID,Timestamp (ms),Player,Action
"G1770783480146-502","4002","System","Ball served towards 玩家 1"
"G1770783480146-502","4923","玩家 1","Hit Ball"
"G1770783480146-502","6790","玩家 2","Hit Ball"
"G1770783480146-502","8657","玩家 1","Hit Ball"
"G1770783480146-502","10524","玩家 2","Hit Ball"
"G1770783480146-502","12390","玩家 1","Hit Ball"
"G1770783480146-502","14258","玩家 2","Hit Ball"
"G1770783480146-502","16124","玩家 1","Hit Ball"
"G1770783480146-502","17990","玩家 2","Hit Ball"
"G1770783480146-502","19857","玩家 1","Hit Ball"
"G1770783480146-502","21723","玩家 2","Hit Ball"
"G1770783480146-502","23591","玩家 1","Hit Ball"
"G1770783480146-502","25457","玩家 2","Hit Ball"
"G1770783480146-502","27325","玩家 1","Hit Ball"
"G1770783480146-502","29275","玩家 2","Lost Life. Remaining: 0"
"G1770783480146-502","29275","玩家 2","Eliminated"
