Game ID,Timestamp (ms),Player,Action,Details
"G1770793595172-240","4001","System","Ball served towards CPU","{""targetPlayer"":""CPU"",""targetPlayerId"":""p2"",""serveAngle"":""-5.61""}"
"G1770793595172-240","4920","CPU","Hit Ball","{""ballSpeed"":""6.89"",""hitPosition"":""0.01"",""rallyHits"":1}"
"G1770793595172-240","6787","Tony","Hit Ball","{""ballSpeed"":""7.36"",""hitPosition"":""0.56"",""rallyHits"":2}"
"G1770793595172-240","8654","CPU","Hit Ball","{""ballSpeed"":""7.87"",""hitPosition"":""0.09"",""rallyHits"":3}"
"G1770793595172-240","10521","Tony","Hit Ball","{""ballSpeed"":""8.41"",""hitPosition"":""-0.23"",""rallyHits"":4}"
"G1770793595172-240","12387","CPU","Hit Ball","{""ballSpeed"":""8.99"",""hitPosition"":""0.09"",""rallyHits"":5}"
"G1770793595172-240","14254","Tony","Hit Ball","{""ballSpeed"":""9.61"",""hitPosition"":""-0.89"",""rallyHits"":6}"
"G1770793595172-240","16120","CPU","Hit Ball","{""ballSpeed"":""10.28"",""hitPosition"":""-0.05"",""rallyHits"":7}"
"G1770793595172-240","17987","Tony","Hit Ball","{""ballSpeed"":""10.98"",""hitPosition"":""0.49"",""rallyHits"":8}"
"G1770793595172-240","19854","CPU","Hit Ball","{""ballSpeed"":""11.74"",""hitPosition"":""-0.37"",""rallyHits"":9}"
"G1770793595172-240","21720","Tony","Hit Ball","{""ballSpeed"":""12.55"",""hitPosition"":""0.34"",""rallyHits"":10}"
"G1770793595172-240","23587","CPU","Hit Ball","{""ballSpeed"":""13.42"",""hitPosition"":""0.31"",""rallyHits"":11}"
"G1770793595172-240","25455","Tony","Hit Ball","{""ballSpeed"":""14.34"",""hitPosition"":""0.38"",""rallyHits"":12}"
"G1770793595172-240","27321","CPU","Hit Ball","{""ballSpeed"":""15.33"",""hitPosition"":""-0.27"",""rallyHits"":13}"
"G1770793595172-240","29187","Tony","Hit Ball","{""ballSpeed"":""16.39"",""hitPosition"":""0.10"",""rallyHits"":14}"
"G1770793595172-240","31054","CPU","Hit Ball","{""ballSpeed"":""17.52"",""hitPosition"":""0.46"",""rallyHits"":15}"
"G1770793595172-240","32921","Tony","Hit Ball","{""ballSpeed"":""18.73"",""hitPosition"":""-0.48"",""rallyHits"":16}"
"G1770793595172-240","34787","CPU","Hit Ball","{""ballSpeed"":""20.00"",""hitPosition"":""-0.44"",""rallyHits"":17}"
"G1770793595172-240","36654","Tony","Hit Ball","{""ballSpeed"":""20.00"",""hitPosition"":""0.58"",""rallyHits"":18}"
"G1770793595172-240","38521","CPU","Hit Ball","{""ballSpeed"":""20.00"",""hitPosition"":""0.10"",""rallyHits"":19}"
"G1770793595172-240","40470","Tony","Lost Life. Remaining: 0","{""missLocation"":""bottom"",""ballSpeed"":""20.38"",""rallyHits"":19}"
"G1770793595172-240","40470","Tony","Eliminated","{""survivalTime"":40.47}"
