Game ID,Timestamp (ms),Ball X,Ball Y,Ball VX,Ball VY,Ball Speed,p1 X,p1 Y,p1 Center,p1 Active,p1 Lives,p1 Distance,p2 X,p2 Y,p2 Center,p2 Active,p2 Lives,p2 Distance,p3 X,p3 Y,p3 Center,p3 Active,p3 Lives,p3 Distance,p4 X,p4 Y,p4 Center,p4 Active,p4 Lives,p4 Distance
"G1770793545832-957","4010","350.58","356.47","0.5844","6.4737","6.5010","20.00","300.00","350.00","1","1","0.00","670.00","300.00","350.00","1","1","0.00","300.00","670.00","350.00","1","1","0.00","300.00","20.00","350.00","1","1","0.00"
"G1770793545832-957","4110","354.09","395.32","0.5844","6.4737","6.5073","20.00","300.00","350.00","1","1","0.00","670.00","316.00","366.00","1","1","16.00","300.00","670.00","350.00","1","1","0.00","300.00","20.00","350.00","1","1","0.00"
"G1770793545832-957","4210","357.60","434.16","0.5844","6.4737","6.5135","20.00","300.00","350.00","1","1","0.00","670.00","336.00","386.00","1","1","20.00","300.00","670.00","350.00","1","1","0.00","300.00","20.00","350.00","1","1","0.00"
"G1770793545832-957","4310","361.10","473.00","0.5844","6.4737","6.5198","20.00","300.00","350.00","1","1","0.00","670.00","360.00","410.00","1","1","24.00","300.00","670.00","350.00","1","1","0.00","300.00","20.00","350.00","1","1","0.00"
"G1770793545832-957","4410","364.61","511.84","0.5844","6.4737","6.5260","20.00","300.00","350.00","1","1","0.00","670.00","384.00","434.00","1","1","24.00","300.00","670.00","350.00","1","1","0.00","300.00","20.00","350.00","1","1","0.00"
"G1770793545832-957","4510","368.12","550.68","0.5844","6.4737","6.5323","20.00","300.00","350.00","1","1","0.00","670.00","408.00","458.00","1","1","24.00","300.00","670.00","350.00","1","1","0.00","300.00","20.00","350.00","1","1","0.00"
"G1770793545832-957","4610","371.62","589.53","0.5844","6.4737","6.5386","20.00","300.00","350.00","1","1","0.00","670.00","432.00","482.00","1","1","24.00","300.00","670.00","350.00","1","1","0.00","300.00","20.00","350.00","1","1","0.00"
"G1770793545832-957","4710","375.13","628.37","0.5844","6.4737","6.5449","20.00","300.00","350.00","1","1","0.00","670.00","456.00","506.00","1","1","24.00","300.00","670.00","350.00","1","1","0.00","300.00","20.00","350.00","1","1","0.00"
"G1770793545832-957","4827","380.37","655.53","1.7298","-6.4737","6.8798","20.00","300.00","350.00","1","1","0.00","670.00","484.00","534.00","1","1","28.00","300.00","670.00","350.00","1","1","0.00","300.00","20.00","350.00","1","1","0.00"
"G1770793545832-957","4943","392.47","610.21","1.7298","-6.4737","6.8875","20.00","300.00","350.00","1","1","0.00","670.00","512.00","562.00","1","1","28.00","300.00","670.00","350.00","1","1","0.00","300.00","20.00","350.00","1","1","0.00"
"G1770793545832-957","5044","402.85","571.37","1.7298","-6.4737","6.8941","20.00","300.00","350.00","1","1","0.00","670.00","524.00","574.00","1","1","12.00","300.00","670.00","350.00","1","1","0.00","300.00","20.00","350.00","1","1","0.00"
"G1770793545832-957","5161","414.96","526.05","1.7298","-6.4737","6.9019","20.00","293.00","343.00","1","1","7.00","670.00","512.00","562.00","1","1","12.00","300.00","670.00","350.00","1","1","0.00","300.00","20.00","350.00","1","1","0.00"
"G1770793545832-957","5277","427.07","480.74","1.7298","-6.4737","6.9096","20.00","244.00","294.00","1","1","49.00","670.00","484.00","534.00","1","1","28.00","300.00","670.00","350.00","1","1","0.00","300.00","20.00","350.00","1","1","0.00"
"G1770793545832-957","5377","437.45","441.90","1.7298","-6.4737","6.9162","20.00","202.00","252.00","1","1","42.00","670.00","460.00","510.00","1","1","24.00","300.00","670.00","350.00","1","1","0.00","300.00","20.00","350.00","1","1","0.00"
"G1770793545832-957","5477","447.83","403.05","1.7298","-6.4737","6.9229","20.00","160.00","210.00","1","1","42.00","670.00","436.00","486.00","1","1","24.00","300.00","670.00","350.00","1","1","0.00","300.00","20.00","350.00","1","1","0.00"
"G1770793545832-957","5577","458.21","364.21","1.7298","-6.4737","6.9295","20.00","118.00","168.00","1","1","42.00","670.00","412.00","462.00","1","1","24.00","300.00","670.00","350.00","1","1","0.00","300.00","20.00","350.00","1","1","0.00"
"G1770793545832-957","5677","468.59","325.37","1.7298","-6.4737","6.9362","20.00","118.00","168.00","1","1","0.00","670.00","388.00","438.00","1","1","24.00","300.00","670.00","350.00","1","1","0.00","300.00","20.00","350.00","1","1","0.00"
"G1770793545832-957","5777","478.96","286.53","1.7298","-6.4737","6.9428","20.00","118.00","168.00","1","1","0.00","670.00","364.00","414.00","1","1","24.00","300.00","670.00","350.00","1","1","0.00","300.00","20.00","350.00","1","1","0.00"
"G1770793545832-957","5877","489.34","247.68","1.7298","-6.4737","6.9495","20.00","118.00","168.00","1","1","0.00","670.00","340.00","390.00","1","1","24.00","300.00","670.00","350.00","1","1","0.00","300.00","20.00","350.00","1","1","0.00"
"G1770793545832-957","5977","499.72","208.84","1.7298","-6.4737","6.9562","20.00","118.00","168.00","1","1","0.00","670.00","316.00","366.00","1","1","24.00","300.00","670.00","350.00","1","1","0.00","300.00","20.00","350.00","1","1","0.00"
"G1770793545832-957","6077","510.10","170.00","1.7298","-6.4737","6.9629","20.00","90.00","140.00","1","1","28.00","670.00","292.00","342.00","1","1","24.00","300.00","670.00","350.00","1","1","0.00","300.00","20.00","350.00","1","1","0.00"
