Game ID,Timestamp (ms),Ball X,Ball Y,Ball VX,Ball VY,Ball Speed,p1 X,p1 Y,p1 Center,p1 Active,p1 Lives,p1 Distance,p2 X,p2 Y,p2 Center,p2 Active,p2 Lives,p2 Distance,p3 X,p3 Y,p3 Center,p3 Active,p3 Lives,p3 Distance
"G1770793570881-726","4011","343.50","349.77","-6.4960","-0.2292","6.5010","20.00","300.00","350.00","1","1","0.00","670.00","304.00","354.00","1","1","4.00","300.00","670.00","350.00","1","1","0.00"
"G1770793570881-726","4112","304.53","348.40","-6.4960","-0.2292","6.5073","20.00","300.00","350.00","1","1","0.00","670.00","300.00","350.00","1","1","4.00","300.00","670.00","350.00","1","1","0.00"
"G1770793570881-726","4227","259.06","346.79","-6.4960","-0.2292","6.5146","20.00","300.00","350.00","1","1","0.00","670.00","304.00","354.00","1","1","4.00","300.00","670.00","350.00","1","1","0.00"
"G1770793570881-726","4328","220.08","345.42","-6.4960","-0.2292","6.5208","20.00","300.00","350.00","1","1","0.00","670.00","296.00","346.00","1","1","8.00","300.00","670.00","350.00","1","1","0.00"
"G1770793570881-726","4428","181.11","344.04","-6.4960","-0.2292","6.5271","20.00","300.00","350.00","1","1","0.00","670.00","292.00","342.00","1","1","4.00","300.00","670.00","350.00","1","1","0.00"
"G1770793570881-726","4545","135.63","342.44","-6.4960","-0.2292","6.5344","20.00","300.00","350.00","1","1","0.00","670.00","288.00","338.00","1","1","4.00","300.00","670.00","350.00","1","1","0.00"
"G1770793570881-726","4645","96.66","341.06","-6.4960","-0.2292","6.5407","20.00","300.00","350.00","1","1","0.00","670.00","288.00","338.00","1","1","0.00","300.00","670.00","350.00","1","1","0.00"
"G1770793570881-726","4761","51.19","339.46","-6.4960","-0.2292","6.5480","20.00","300.00","350.00","1","1","0.00","670.00","288.00","338.00","1","1","0.00","300.00","670.00","350.00","1","1","0.00"
"G1770793570881-726","4861","57.49","336.73","6.4960","-0.6785","6.8820","20.00","300.00","350.00","1","1","0.00","670.00","292.00","342.00","1","1","4.00","300.00","670.00","350.00","1","1","0.00"
"G1770793570881-726","4961","96.46","332.66","6.4960","-0.6785","6.8886","20.00","300.00","350.00","1","1","0.00","670.00","280.00","330.00","1","1","12.00","300.00","670.00","350.00","1","1","0.00"
"G1770793570881-726","5061","135.44","328.59","6.4960","-0.6785","6.8952","20.00","300.00","350.00","1","1","0.00","670.00","276.00","326.00","1","1","4.00","300.00","670.00","350.00","1","1","0.00"
"G1770793570881-726","5162","174.42","324.52","6.4960","-0.6785","6.9019","20.00","300.00","350.00","1","1","0.00","670.00","272.00","322.00","1","1","4.00","300.00","670.00","350.00","1","1","0.00"
"G1770793570881-726","5262","213.39","320.45","6.4960","-0.6785","6.9085","20.00","300.00","350.00","1","1","0.00","670.00","276.00","326.00","1","1","4.00","300.00","670.00","350.00","1","1","0.00"
"G1770793570881-726","5378","258.86","315.70","6.4960","-0.6785","6.9162","20.00","300.00","350.00","1","1","0.00","670.00","272.00","322.00","1","1","4.00","300.00","670.00","350.00","1","1","0.00"
"G1770793570881-726","5478","297.84","311.63","6.4960","-0.6785","6.9229","20.00","300.00","350.00","1","1","0.00","670.00","264.00","314.00","1","1","8.00","300.00","670.00","350.00","1","1","0.00"
"G1770793570881-726","5578","336.81","307.56","6.4960","-0.6785","6.9295","20.00","293.00","343.00","1","1","7.00","670.00","264.00","314.00","1","1","0.00","300.00","670.00","350.00","1","1","0.00"
