Game ID,Timestamp (ms),Ball X,Ball Y,Ball VX,Ball VY,Ball Speed,p1 X,p1 Y,p1 Center,p1 Active,p1 Lives,p1 Distance,p2 X,p2 Y,p2 Center,p2 Active,p2 Lives,p2 Distance
"G1770793595172-240","4004","406.47","299.36","6.4689","-0.6351","6.5010","20.00","250.00","300.00","1","1","0.00","770.00","246.00","296.00","1","1","4.00"
"G1770793595172-240","4104","445.28","295.55","6.4689","-0.6351","6.5073","20.00","250.00","300.00","1","1","0.00","770.00","242.00","292.00","1","1","4.00"
"G1770793595172-240","4204","484.10","291.74","6.4689","-0.6351","6.5135","20.00","250.00","300.00","1","1","0.00","770.00","246.00","296.00","1","1","4.00"
"G1770793595172-240","4304","522.91","287.93","6.4689","-0.6351","6.5198","20.00","250.00","300.00","1","1","0.00","770.00","242.00","292.00","1","1","4.00"
"G1770793595172-240","4420","568.19","283.49","6.4689","-0.6351","6.5271","20.00","250.00","300.00","1","1","0.00","770.00","242.00","292.00","1","1","0.00"
"G1770793595172-240","4521","607.00","279.68","6.4689","-0.6351","6.5334","20.00","250.00","300.00","1","1","0.00","770.00","234.00","284.00","1","1","8.00"
"G1770793595172-240","4636","652.29","275.23","6.4689","-0.6351","6.5407","20.00","264.00","314.00","1","1","14.00","770.00","226.00","276.00","1","1","8.00"
"G1770793595172-240","4737","691.10","271.42","6.4689","-0.6351","6.5470","20.00","292.00","342.00","1","1","28.00","770.00","222.00","272.00","1","1","4.00"
"G1770793595172-240","4861","736.38","266.97","6.4689","-0.6351","6.5543","20.00","292.00","342.00","1","1","0.00","770.00","218.00","268.00","1","1","4.00"
"G1770793595172-240","4971","742.59","262.58","-6.4689","-0.6178","6.8897","20.00","257.00","307.00","1","1","35.00","770.00","214.00","264.00","1","1","4.00"
"G1770793595172-240","5087","697.31","258.26","-6.4689","-0.6178","6.8974","20.00","208.00","258.00","1","1","49.00","770.00","210.00","260.00","1","1","4.00"
"G1770793595172-240","5187","658.50","254.55","-6.4689","-0.6178","6.9041","20.00","166.00","216.00","1","1","42.00","770.00","206.00","256.00","1","1","4.00"
"G1770793595172-240","5304","613.22","250.22","-6.4689","-0.6178","6.9118","20.00","117.00","167.00","1","1","49.00","770.00","206.00","256.00","1","1","0.00"
"G1770793595172-240","5404","574.40","246.52","-6.4689","-0.6178","6.9184","20.00","117.00","167.00","1","1","0.00","770.00","202.00","252.00","1","1","4.00"
"G1770793595172-240","5504","535.59","242.81","-6.4689","-0.6178","6.9251","20.00","117.00","167.00","1","1","0.00","770.00","198.00","248.00","1","1","4.00"
"G1770793595172-240","5619","490.31","238.49","-6.4689","-0.6178","6.9329","20.00","117.00","167.00","1","1","0.00","770.00","190.00","240.00","1","1","8.00"
"G1770793595172-240","5720","451.49","234.78","-6.4689","-0.6178","6.9395","20.00","117.00","167.00","1","1","0.00","770.00","186.00","236.00","1","1","4.00"
"G1770793595172-240","5820","412.68","231.07","-6.4689","-0.6178","6.9462","20.00","117.00","167.00","1","1","0.00","770.00","186.00","236.00","1","1","0.00"
"G1770793595172-240","5921","373.87","227.37","-6.4689","-0.6178","6.9528","20.00","117.00","167.00","1","1","0.00","770.00","174.00","224.00","1","1","12.00"
"G1770793595172-240","6037","328.58","223.04","-6.4689","-0.6178","6.9606","20.00","117.00","167.00","1","1","0.00","770.00","174.00","224.00","1","1","0.00"
"G1770793595172-240","6154","283.30","218.72","-6.4689","-0.6178","6.9684","20.00","117.00","167.00","1","1","0.00","770.00","170.00","220.00","1","1","4.00"
"G1770793595172-240","6254","244.49","215.01","-6.4689","-0.6178","6.9751","20.00","117.00","167.00","1","1","0.00","770.00","170.00","220.00","1","1","0.00"
"G1770793595172-240","6354","205.67","211.30","-6.4689","-0.6178","6.9818","20.00","117.00","167.00","1","1","0.00","770.00","166.00","216.00","1","1","4.00"
"G1770793595172-240","6454","166.86","207.60","-6.4689","-0.6178","6.9885","20.00","117.00","167.00","1","1","0.00","770.00","158.00","208.00","1","1","8.00"
"G1770793595172-240","6571","121.58","203.27","-6.4689","-0.6178","6.9964","20.00","117.00","167.00","1","1","0.00","770.00","158.00","208.00","1","1","0.00"
"G1770793595172-240","6686","76.30","198.95","-6.4689","-0.6178","7.0042","20.00","117.00","167.00","1","1","0.00","770.00","154.00","204.00","1","1","4.00"
"G1770793595172-240","6787","38.00","195.24","6.4689","0.5119","7.3615","20.00","117.00","167.00","1","1","0.00","770.00","154.00","204.00","1","1","0.00"
"G1770793595172-240","6887","76.81","198.31","6.4689","0.5119","7.3685","20.00","117.00","167.00","1","1","0.00","770.00","146.00","196.00","1","1","8.00"
